,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
2794,5675,5675,5675,320,RUA BERTIOGA,SAO PAULO,SAUDE,,-23.611136,-46.634215
2795,6941,6941,6941,1754,RUA BATISTA FERGUSIO,SAO PAULO,SAPOPEMBA,,-23.625387,-46.505204
2796,5360,5360,5360,        77,GUATAMBUS,SAO PAULO,PEDREIRA,,-23.712991,-46.622907
2797,9679,9679,9679,41,RUA VALE DO IPOJUCA,SAO PAULO,CIDADE LIDER,,-23.551909,-46.466318
2798,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2799,7012,7012,7012,45,PRAÇA PIRES RODOVALHO,SAO PAULO,SAO RAFAEL,,-23.633767,-46.467229
2800,9445,9445,9445,99,PRACA BAUXITA,SAO PAULO,VILA MATILDE,,-23.545484,-46.519132
2801,9411,9411,9411,S/N,RUA SOLEDADE DE MINAS,SAO PAULO,SAO MATEUS,,-23.578812,-46.499684
2802,1299,1299,1299,300,RUA SILVILINO MANTOVANINI,SAO PAULO,JARDIM SAO LUIS,,-23.706353,-46.746273
2803,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2804,3876,3876,3876,62,ELSA MORANTE,SAO PAULO,ALTO DE PINHEIROS,,-23.54232,-46.705318
2805,808,808,808,,RUA BELEM,SAO PAULO,PARELHEIROS,,-23.826053,-46.700713
2806,5033,5033,5033,9953,ESTRADA DE ITAQUAQUECETUBA,SAO PAULO,GRAJAU,,-23.773352,-46.645842
2807,8266,8266,8266,61,TAPIRAI,SAO PAULO,VILA GUILHERME,,-23.497687,-46.596953
2808,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2809,9135,9135,9135,253,RUA JOAO NICOLAU CHAMMA,SAO PAULO,TREMEMBE,,-23.454678,-46.612964
2810,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2811,4810,4810,4810,3001,AVENIDA GENERAL PENHA BRASIL,SAO PAULO,BRASILANDIA,,-23.450568,-46.679108
2812,6960,6960,6960,463,ESQUIVEL NAVARRO,SAO PAULO,SAPOPEMBA,,-23.605704,-46.50676
2813,5026,5026,5026,2,RUA DOIS,SAO PAULO,PARELHEIROS,,-23.87856,-46.651063
2814,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2815,7821,7821,7821,       347,CONSOLACAO,SAO PAULO,CONSOLACAO,,-23.547701,-46.644533
2816,10489,10489,10489,305,RUA AMERICO GOMES DONA COSTA,SAO PAULO,SAO MIGUEL,,-23.496227,-46.441315
2817,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2818,8943,8943,8943,SN,LAMARAO,SAO PAULO,JACANA,,-23.470359,-46.564245
2819,4810,4810,4810,3001,AVENIDA GENERAL PENHA BRASIL,SAO PAULO,BRASILANDIA,,-23.450568,-46.679108
2820,4276,4276,4276,       281,MADALENA MADUREIRA,SAO PAULO,LIMAO,,-23.50229,-46.669815
2821,780,780,780,25,RUA JOSE PAULO CANDIDO,SAO PAULO,PARELHEIROS,,-23.848374,-46.715014
2822,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2823,871,871,871,,ORFEO PARAVENTE,SAO PAULO,CIDADE DUTRA,,-23.734297,-46.718283
2824,6938,6938,6938,       166,OTACILIO CUNHA,SAO PAULO,SAPOPEMBA,,-23.612873,-46.508425
2825,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2826,821,821,821,2,PAVAO REAL,SAO PAULO,PARELHEIROS,,-23.767012,-46.720856
2827,9018,9018,9018,2274,CANGAIBA,SAO PAULO,CANGAIBA,,-23.507604,-46.53344
2828,862,862,862,340,AVENIDA CARLOS ALBERT0 BASTOS MACHADO,SAO PAULO,GRAJAU,,-23.766559,-46.695396
2829,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2830,9397,9397,9397,        61,ESTADO DO AMAZONAS,SAO PAULO,SAO MATEUS,,-23.591108,-46.505725
2831,873,873,873,2,RUA BREST,SAO PAULO,CIDADE DUTRA,,-23.732586,-46.717496
2832,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2833,11409,11409,11409,14,UBAI,SAO PAULO,ITAIM PAULISTA,,-23.516689,-46.39827
2834,11219,11219,11219,6020,INACIO MONTEIRO,SAO PAULO,CIDADE TIRADENTES,,-23.590358,-46.382277
2835,3634,3634,3634,SN,RUA FRANCISCO OLAVO DE ASSIS,SAO PAULO,JAGUARA,,-23.50573,-46.761803
2836,2019,2019,2019,594,RUA PROFESSOR GUILHERME BELFORT SABINO,SAO PAULO,CAMPO GRANDE,,-23.669421,-46.681386
2837,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2838,728,728,728,1414,RUA JUSA DO,SAO PAULO,PARELHEIROS,,-23.821185,-46.749788
2839,7011,7011,7011,400,RUA LOURENCO LEITE PENTEADO,SAO PAULO,SAO RAFAEL,,-23.633406,-46.468582
2840,3994,3994,3994,688,RUA TEODORO SAMPAIO,SAO PAULO,JARDIM PAULISTA,,-23.557318,-46.677291
2841,10626,10626,10626,       275,ORMINDA PINTO,SAO PAULO,VILA CURUCA,,-23.525953,-46.40221
2842,8926,8926,8926,414,AVENIDA EDU CHAVES,SAO PAULO,JACANA,,-23.479359,-46.567773
2843,11460,11460,11460,       299,ITAJUIBE,SAO PAULO,ITAIM PAULISTA,,-23.499353,-46.392461
2844,11582,11582,11582,        87,MANUEL FELIX DE LIMA,SAO PAULO,JARDIM HELENA,,-23.478051,-46.384025
2845,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2846,3562,3562,3562,        69,MELITON VIGUEIRA PENILLOS,SAO PAULO,VILA LEOPOLDINA,,-23.528576,-46.732281
2847,9384,9384,9384,56,RUA DOUTOR HORACIO DONA COSTA,SAO PAULO,ARICANDUVA,,-23.564142,-46.520235
2848,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2849,749,749,749,601,RUA RENE CASTERA,SAO PAULO,JARDIM ANGELA,,-23.750653,-46.776956
2850,1447,1447,1447,SN,CANTOS DO AMANHECER,SAO PAULO,CAMPO LIMPO,,-23.6492,-46.785812
2851,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2852,720,720,720,S/N,SINFONIA MILITAR TRAV H,SAO PAULO,PARELHEIROS,,-23.803575,-46.764608
2853,9155,9155,9155,240,RUA CANTO DO ENGENHO,SAO PAULO,TREMEMBE,,-23.446923,-46.597159
2854,9350,9350,9350,560,MANOEL FERREIRA PIRES,SAO PAULO,ARICANDUVA,,-23.579877,-46.52527
2855,203,203,203,101,RUA ENRIQUE AMORIM,SAO PAULO,PARELHEIROS,,-23.867041,-46.75333
2856,6941,6941,6941,1754,RUA BATISTA FERGUSIO,SAO PAULO,SAPOPEMBA,,-23.625387,-46.505204
2857,8360,8360,8360,500,RUA MANUEL GAYA,SAO PAULO,TREMEMBE,,-23.465573,-46.597605
2858,8339,8339,8339,144,RUA IRMAOS PILLA,SAO PAULO,TUCURUVI,,-23.475333,-46.607424
2859,205,205,205,S/N,EST ENGENHEIRO MARCILAC,SAO PAULO,MARSILAC,,-23.875968,-46.738807
